last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Bednar, David,670280,55.8,,,,,23.6,20.7,,,
Brogdon, Connor,641401,44.9,0.3,19.2,,35.6,,,,,
Castillo, Diego,650895,4.0,29.9,,66.1,,,,,,
Bradley, Archie,605151,46.7,23.8,,,14.0,15.5,,,,
Barnes, Matt,598264,49.8,,,,1.7,48.4,,,,
Martin, Brett,656685,24.1,30.3,,24.5,,21.1,,,,
Barría, Jaime,642545,36.3,18.9,,36.4,8.4,,,,,
Crochet, Garrett,676979,64.3,,,27.9,7.9,,,,,
Young, Alex,622065,13.9,25.4,22.6,,19.1,19.0,,,,
de Geus, Brett,676969,0.9,55.1,24.9,,,19.1,,,,
Santana, Dennis,642701,5.9,42.2,,28.7,20.6,2.5,,,,
Thornton, Trent,663423,39.0,0.7,21.0,8.1,6.3,24.9,,,,
Kennedy, Ian,453178,82.5,,3.4,,8.6,5.5,,,,
Misiewicz, Anthony,664948,35.3,,33.3,,,31.3,,,,
Wells, Tyler,669330,58.6,,27.0,,10.4,4.0,,,,
Carrasco, Carlos,471911,39.7,10.7,,20.1,24.6,4.8,,,,
Detwiler, Ross,446321,33.9,17.3,36.8,,4.4,7.5,,,,
McGee, Jake,459429,90.1,,,9.9,,,,,,
Minter, A.J.,621345,42.5,,44.2,,13.4,,,,,
Chargois, JT,608638,4.8,35.5,,59.7,,,,,,
Allen, Logan,663531,41.9,1.5,0.5,31.2,16.1,8.8,,,,
Montero, Rafael,606160,35.4,25.9,,19.5,19.2,,,,,
Givens, Mychal,571710,46.8,,,15.6,37.6,,,,,
Fry, Paul,643316,54.5,,,45.0,0.6,,,,,
Graveman, Kendall,608665,8.6,62.9,,17.7,6.9,3.9,,,,
Dunn, Justin,643290,51.7,,,14.8,1.3,32.2,,,,
Almonte, Yency,622075,44.9,3.8,,22.4,10.2,,,,18.6,
Alcala, Jorge,660896,37.6,5.9,,40.7,15.8,,,,,
Jiménez, Joe,641729,54.0,,,32.9,13.0,,,,,
Doolittle, Sean,448281,81.1,,,5.4,,9.0,4.5,,,
Watson, Tony,453265,25.2,17.4,,24.1,33.3,,,,,
Raley, Brooks,548384,7.3,14.9,32.4,,3.8,13.2,,,28.4,
Hudson, Daniel,543339,68.2,0.2,,28.8,2.8,,,,,
Andriese, Matt,542882,43.9,4.4,5.1,,33.9,12.6,,,,
Anderson, Chase,502624,32.9,6.2,18.1,4.3,29.5,9.0,,,,
Leone, Dominic,608678,47.4,1.4,23.6,27.6,,,,,,
Howard, Sam,607572,43.3,,,55.0,1.8,,,,,
Mayza, Tim,641835,0.2,71.0,,28.8,,,,,,
Holland, Derek,502706,9.8,46.8,,,9.6,33.8,,,,
Bielak, Brandon,656232,40.1,15.8,5.3,16.9,11.5,10.4,,,,
Loup, Aaron,571901,,51.9,32.9,,8.6,6.6,,,,
Lamet, Dinelson,659275,44.2,3.5,,50.6,1.7,,,,,
Garrett, Amir,607237,48.4,0.5,,51.1,,,,,,
Payamps, Joel,606303,40.8,19.8,,29.6,9.8,,,,,
Toussaint, Touki,657053,3.3,48.3,,,,27.2,21.2,,,
Hernández, Elieser,622694,51.5,1.8,,34.5,12.2,,,,,
Sims, Lucas,608371,41.2,,,34.5,0.4,23.9,,,,
Tomlin, Josh,458708,22.5,,47.2,,1.5,28.8,,,,
Helsley, Ryan,664854,54.0,1.7,,34.7,2.7,6.8,,,,
Clay, Sam,621348,,65.8,,24.4,9.8,,,,,
LeBlanc, Wade,453281,15.0,23.9,28.0,,22.3,10.8,,,,
Taylor, Josh,657031,37.0,11.8,,46.1,,5.1,,,,
Winkler, Dan,595465,19.9,6.4,66.6,,,7.1,,,,
Wisler, Matt,605538,9.1,,,90.9,,,,,,
Peralta, Wandy,593974,15.1,22.4,,14.3,48.1,,,,,
Bickford, Phil,641360,64.2,0.1,,35.3,0.4,,,,,
De Jong, Chase,608328,48.8,0.3,,22.7,4.6,23.6,,,,
Turnbull, Spencer,605513,38.6,21.9,,24.5,7.5,7.5,,,,
Davis, Wade,451584,40.3,6.5,32.0,,1.6,19.6,,,,
Fairbanks, Pete,664126,57.9,0.3,,41.9,,,,,,
Stephenson, Robert,596112,49.4,,,28.9,,20.9,0.8,,,
Dobnak, Randy,677976,0.8,58.7,,33.2,7.3,,,,,
White, Mitch,669952,52.5,0.3,,3.7,1.3,28.1,,,14.2,
Santillan, Tony,663574,47.0,,,46.5,6.4,,,,,
Suero, Wander,593833,0.5,,75.3,,15.8,8.4,,,,
Rodríguez, Joely,570257,15.6,43.0,,3.8,37.6,,,,,
Valdez, César,491624,8.7,11.2,,5.2,74.9,,,,,
Hernández, Darwinzon,650382,73.1,0.9,,20.6,,5.4,,,,
Wells, Alex,649144,50.8,,,16.0,13.8,19.4,,,,
Clarke, Taylor,664199,53.4,,,29.0,15.7,2.0,,,,
Springs, Jeffrey,605488,41.9,,,30.2,27.8,,,,,
Wendelken, J.B.,605525,50.5,13.8,,23.6,9.6,2.5,,,,
Taylor, Blake,642130,72.5,,,27.5,,,,,,
Sale, Chris,519242,47.6,1.4,,31.5,19.6,,,,,
Long, Sam,669674,42.2,1.0,,2.2,20.5,34.2,,,,
Gilbreath, Lucas,656458,63.1,,,35.3,,,1.6,,,
Garcia, Bryan,650530,1.0,54.9,,26.4,17.8,,,,,
Lugo, Seth,607625,29.0,24.9,,14.4,3.2,28.5,,,,
Foster, Matt,641582,63.5,,3.4,10.6,22.5,,,,,
Castellanos, Humberto,528748,22.2,34.0,,6.6,11.0,26.2,,,,
Farmer, Buck,571656,47.7,,,26.7,25.6,,,,,
Parker, Blake,453284,46.3,,11.1,,,7.9,34.8,,,
Ponce, Cody,664074,41.7,0.4,18.8,14.3,8.1,16.6,,,,
Kelly, Joe,523260,6.9,33.8,,,16.2,43.1,,,,
